Group,First Date,Last Date,Txs,No. Contracts,No. Chains,Contracts List,Chains List,Overall,Count,First Date Spread Variance,Last Date Spread Variance,First Date Clustering Score,Last Date Clustering Score
FS,0,16.8180727,0.072124756,0,0.028282828,0,0.036242921,0.041370479,36,0,0.101116831,0,0.132987747
LW,0,0,0,0,0,0,0,0,25,0,0,0,0
DC,0,0.011363636,0,0,0.04,0,0.03998546,0.02390653,22,0,0.002054727,0,0.002816948
EX,0.001033058,0.113636364,0.140091769,0,0.056643357,0,0.058937386,0.076073236,44,0.001325688,0.009189018,0.00029424,0.008194757
A,0.001074074,1.366074074,0.042176871,0,0.050811843,0,0.04745964,0.041496523,30,0.00111617,0.026307637,0.000417168,0.021634157
EW,0.00318287,0.017288773,0.12972973,0,0.103121516,0,0.090477063,0.094918641,24,0.001718572,0.002647109,0.000988975,0.003306001
IM,0.00698102,0.505561295,0.088628218,0,0.037771755,0,0.045802523,0.051878093,81,0.004675785,0.026297442,0.002886884,0.008614424
JC,0.011445848,0.832939407,0.030257937,0,0.012258787,0,0.021337427,0.019829141,63,0.005280157,0.029768782,0.004667814,0.033442824
DS,0.024734692,12.27332598,0.093867671,0,0.037433155,0,0.045614009,0.053322422,44,0.006486825,0.095497402,0.002012872,0.12131499
DN,0.026580722,0,0.294425087,0,0,0,0,0.086814612,56,0.0075863,0,0.007059518,0
II,0.034057617,8.608886719,0.088362069,0,0.037983425,0,0.04271436,0.050655987,32,0.006491345,0.068207569,0.006245713,0.045159191
DH,0.036929057,1399.430083,0.176397516,0,0.115995116,0,0.118361038,0.127351581,21,0.005475785,0.704481083,0.003346735,0.468775846
LJ,0.03884794,0.062223008,0.255287435,0,0.108179349,0,0.098508512,0.136135934,5102,0.087540055,0.073220015,0.072212883,0.079571023
LK,0.041378892,0.722269297,0.00308362,0,0.052003788,0,0.059176103,0.034825266,183,0.017110692,0.047245365,0.012689108,0.056513912
GV,0.06568535,1.103284267,0.048160277,0,0.027658046,0,0.034570057,0.033461629,29,0.008581947,0.023244853,0.008605395,0.011629539
JJ,0.065887451,0.779510498,0.185787671,0,0.074074074,0,0.066140616,0.095941967,32,0.009028777,0.020524381,0.007219235,0.021985395
HZ,0.067921842,83.48913533,0.098979276,0,0,0,0,0.029487759,53,0.011797643,0.273361282,0.010960115,0.316721579
IP,0.074945273,0.073198765,0.115359787,0,0.007876167,0,0.022297733,0.044404536,368,0.03265492,0.021328478,0.029827302,0.025584167
HW,0.084730321,0.077760569,0.088466579,0,0,0,0,0.02608626,28,0.009577475,0.006063771,0.006109992,0.007416046
HG,0.09071946,0.018543815,0.256225549,0,0.019974116,0,0.098441868,0.118398243,488,0.041372592,0.012362137,0.039483194,0.013694105
GM,0.09158694,0.119690742,0.382681792,0,0.085806732,0,0.108853718,0.173212198,3268,0.107574761,0.081274703,0.085591977,0.089189752
